asin,ISBN10,brand,image_url,title,categories
7350813,7350813,Emily Brontë,"https://images-na.ssl-images-amazon.com/images/I/41k1JwQ6zVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Wuthering Heights (Collins Classics),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
7513763,9.78001E+12,Drew Daywalt,"https://images-na.ssl-images-amazon.com/images/I/51q21jP9MtL._SX218_BO1,204,203,200_QL40_ML2_.jpg",THE DAYS THE CRAYONS QUIT,"[""Books"",""Children's Books"",""Literature & Fiction""]"
8183988,8183988,Bernard Cornwell,"https://images-na.ssl-images-amazon.com/images/I/51n75dtKIPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",War Lord: Book 13 (The Last Kingdom Series),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
8305838,8305838,David Walliams,"https://images-na.ssl-images-amazon.com/images/I/513FzT0YbIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,"[""Books"",""Children's Books"",""Literature & Fiction""]"
8375526,8375526,Caroline Hirons,"https://images-na.ssl-images-amazon.com/images/I/51agrdZp2BS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]"
8387753,8387753,J. R. R. Tolkien,"https://images-na.ssl-images-amazon.com/images/I/51iy3eo8+KL._SY344_BO1,204,203,200_.jpg",The Hobbit & The Lord of the Rings Boxed Set,"[""Books"",""Literature & Fiction"",""Mythology & Folk Tales""]"
8433941,8433941,J. R. R. Tolkien,"https://images-na.ssl-images-amazon.com/images/I/51KZEkcVYML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Silmarillion,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
60244887,60244887,C. S. Lewis,"https://images-na.ssl-images-amazon.com/images/I/51YGwxKn3CL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",The Chronicles of Narnia (Box Set),"[""Books"",""Children's Books"",""Literature & Fiction""]"
60254920,60254920,Maurice Sendak,"https://images-na.ssl-images-amazon.com/images/I/61zGOvBSgAL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",Where the Wild Things Are,"[""Books"",""Children's Books"",""Science Fiction & Fantasy""]"
60256656,60256656,Shel Silverstein,"https://images-na.ssl-images-amazon.com/images/I/41m-Tm2wAqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Giving Tree,"[""Books"",""Children's Books"",""Classics""]"
